question,ground_truths
¿Qué es la vacunación infantil?,Es la administración de vacunas a los niños para protegerlos de enfermedades infecciosas graves.
¿Cuáles son los métodos anticonceptivos más efectivos?,"Los métodos más efectivos incluyen los implantes hormonales, los DIU, y la esterilización."
¿Cómo puedo mantenerme saludable a medida que envejezco?,"Mantén una dieta equilibrada, haz ejercicio regularmente, duerme bien y mantén actividades sociales y mentales."
¿Qué es la artritis?,"Es una inflamación de las articulaciones que causa dolor y rigidez. Hay diferentes tipos, como la osteoartritis y la artritis reumatoide."
¿Qué es la demencia?,"Es un término general para la pérdida de memoria, el lenguaje, la resolución de problemas y otras habilidades cognitivas lo suficientemente graves como para interferir con la vida diaria."
¿Qué es la osteoporosis?,"Es una enfermedad que debilita los huesos, haciéndolos frágiles y más propensos a romperse."
¿Cómo puedo prevenir la osteoporosis?,"Consumiendo suficiente calcio y vitamina D, haciendo ejercicio regularmente y evitando el tabaco y el alcohol en exceso."
¿Qué es la hipertensión?,Es una condición en la que la presión de la sangre contra las paredes de las arterias es demasiado alta.
¿Cuáles son los síntomas del glaucoma?,"Pueden incluir pérdida de visión periférica, dolor ocular, enrojecimiento del ojo y visión borrosa."
¿Qué debo hacer en caso de una fractura?,"Inmoviliza la zona afectada, aplica hielo para reducir la hinchazón y busca atención médica inmediatamente."
¿Qué debo hacer si alguien tiene un ataque cardíaco?,"Llama a emergencias, haz que la persona se siente y se relaje, y administra RCP si deja de respirar."
¿Cómo puedo prevenir accidentes en el hogar?,"Mantén los pisos libres de obstáculos, instala detectores de humo, usa alfombras antideslizantes y guarda los productos químicos y medicamentos fuera del alcance de los niños."
¿Qué es la contaminación del aire?,Es la presencia de sustancias nocivas en el aire que pueden afectar la salud humana y el medio ambiente.
¿Cómo afecta la contaminación del aire a la salud?,"Puede causar problemas respiratorios, enfermedades cardíacas y aumentar el riesgo de cáncer."
¿Qué es el cambio climático?,"Es un cambio a largo plazo en los patrones de temperatura y clima de la Tierra, causado en gran parte por las actividades humanas."
¿Qué son los pesticidas y cómo pueden afectar la salud?,"Son sustancias químicas utilizadas para matar plagas, y su exposición puede causar problemas de salud como intoxicación y enfermedades crónicas."
¿Qué es el agua potable segura?,Es el agua que es segura para beber y utilizar sin riesgo de enfermedades transmitidas por el agua.
¿Qué es la contaminación del agua?,Es la presencia de sustancias nocivas en el agua que pueden afectar la salud humana y el ecosistema.
¿Cómo puedo contribuir a un ambiente más saludable?,"Reduce, reutiliza y recicla, usa productos ecológicos, ahorra energía y agua, y apoya políticas ambientales."
